Method,Min,Max,Mean,50%,Std.
Random,2.35E+00,2.40E+00,2.38E+00,2.37E+00,1.91E-02
PSO,2.16E+00,2.29E+00,2.22E+00,2.23E+00,5.27E-02
GWO,2.60E+00,2.68E+00,2.65E+00,2.66E+00,3.12E-02
GA,1.96E+00,2.21E+00,2.12E+00,2.15E+00,8.47E-02
SA,2.27E+00,2.39E+00,2.34E+00,2.34E+00,4.19E-02
CSO,2.04E+00,2.16E+00,2.11E+00,2.11E+00,4.77E-02
