Method,Min,Max,Mean,50%,Std.
Random,4.63E+03,5.00E+03,4.84E+03,4.85E+03,1.19E+02
PSO,3.77E+03,4.35E+03,4.12E+03,4.15E+03,2.09E+02
GWO,6.15E+03,6.54E+03,6.41E+03,6.47E+03,1.38E+02
GA,3.49E+03,4.18E+03,3.91E+03,3.92E+03,2.45E+02
SA,3.98E+03,4.76E+03,4.47E+03,4.61E+03,2.89E+02
CSO,3.30E+03,4.09E+03,3.82E+03,3.95E+03,3.03E+02
