Method,Min,Max,Mean,50%,Std.
Random,9.39E-01,9.93E-01,9.62E-01,9.61E-01,1.75E-02
PSO,7.90E-01,8.80E-01,8.33E-01,8.30E-01,3.66E-02
GWO,1.25E+00,1.29E+00,1.28E+00,1.29E+00,1.62E-02
GA,6.44E-01,8.47E-01,7.63E-01,7.91E-01,6.89E-02
SA,8.83E-01,9.69E-01,9.36E-01,9.42E-01,3.13E-02
CSO,6.54E-01,8.13E-01,7.53E-01,7.84E-01,6.06E-02
